Open,5/22/2024 21:31,Mesa,AZ,USA,Light,"Foggy light, no sound, moving extremely slow then went up and disappeared",5/23/2024,,Rocket
Open,5/22/2024 21:10,Corona,CA,USA,Orb,"I saw a white ball about 3-4 times the size and luminosity of venus, with cones of illuminated mist? protruding from top and bottom",5/22/2024,,Rocket
Open,5/22/2024 21:10,Tempe,AZ,USA,Changing,"White, shape changing item which seemed to accelerate rapidly",5/23/2024,Y,
Open,5/22/2024 21:07,Pinole,CA,USA,Orb,It was two lights one above the other. Very close in proximity. Bigger one on bottom. With a haze like ora around them. Static,5/22/2024,,
Open,5/22/2024 21:06,Cave Creek,AZ,USA,Orb,"Silent, bright white orb traveling overhead and focusing a beam in different directions",5/22/2024,Y,Rocket
Open,5/22/2024 21:06,Gilbert,AZ,USA,Circle,We noticed a light moving slowly East to West that disappeared completely,5/23/2024,Y,Rocket
Open,5/22/2024 21:06,Queen Creek,AZ,USA,Light,"Bright as the moon,traveled, faded , then disappeared",5/25/2024,,Rocket
Open,5/22/2024 21:05,Las Vegas,NV,USA,Light,We were walking our dog and we saw a bright white object that was moving around swiftly like a firefly. Then suddenly disappeared,5/22/2024,Y,Rocket
Open,5/22/2024 21:05,Gilbert,AZ,USA,Changing,"Strange object in the sky, white with a haze around it moving slowly then high and fast moving from west to east and gained altitude",5/22/2024,,Rocket
Open,5/22/2024 21:05,Norwalk,CA,USA,Light,SoCal,5/22/2024,,Rocket
Open,5/22/2024 21:05,Santa Clarita,CA,USA,Orb,Saw it in the sky in my backyard. It was a blueish white glow that was moving steadily from the west going east. No Sound.,5/23/2024,Y,Rocket
Open,5/22/2024 21:05,Phoenix,AZ,USA,Other,"Hour glass, or butterfly shaped light emitting a foggy haze around the light, despite being a clear night.",5/27/2024,Y,Rocket
Open,5/22/2024 21:05,Phoenix,AZ,USA,Light,"Glowing white light that appeared somewhat cloudy, despite it being a perfectly clear night.",6/1/2024,Y,Rocket
Open,5/22/2024 20:39,Spokane,WA,USA,Circle,Analysis of Large circular object hovering 4 min.'s,5/24/2024,Y,
Open,5/22/2024 19:39,Spokane,WA,USA,Circle,Extremely bright white orb or circle over,5/23/2024,Y,
Open,5/22/2024 16:00,Loves Park,IL,USA,Sphere,"Small white sphere, moving fast then stopped then vanished",5/23/2024,,
Open,5/22/2024 14:14,Annapolis,MD,USA,Oval,Blue Angels were flying over annapolis on the 22nd. Noticed a quick 'blip' for exactly one frame on watching the videos back.,6/3/2024,Y,
Open,5/22/2024 0:05,Tumwater,WA,USA,Orb,"Moving east to west, retrograde, spread apart wide distribution, dozens over the hour plus, can see 5-9 in any given moment.",5/22/2024,,
Open,5/21/2024 23:59,Orlando,FL,USA,Chevron,"My S/O and I looked into cloudless night sky together and saw a silent, slow, wide, & low 'V' outlined in moonlight moving in a line.",5/21/2024,,
Open,5/21/2024 21:50,New Cumberland,PA,USA,Orb,While outside my home there was a person nearby that drew my attention and this is when I noticed what looked like an airplane light.,5/21/2024,,Aircraft
Open,5/21/2024 19:03,Los Altos,CA,USA,Triangle,Black triagle flying south,5/21/2024,,
Open,5/21/2024 14:06,Carlisle,PA,USA,Oval,Myself and my spouse witnessed an unusual metallic object moving quickly in a straight line.,5/21/2024,Y,Balloon?
Open,5/21/2024 10:20,Bartow,FL,USA,Cone,"No noise, flew in side by side formation then stacked formation until disappeared.",5/21/2024,,Birds?
Open,5/20/2024 21:50,Dundalk,MD,USA,Rectangle,I saw an object falling quickly from the sky,5/22/2024,,
Open,5/20/2024 21:45,Owings Mills,MD,USA,Circle,Rapidly accelerating object moving through big dipper to south approached by 2 objects coming from the south in a sweeping motion,5/21/2024,,
Open,5/20/2024 16:44,Manteca,CA,USA,Cube,"Unknown object in the sky in Manteca, CA",5/22/2024,Y,Balloon?
Open,5/20/2024 14:00,Helena,MT,USA,Cylinder,Craft flew over the Lewis and Clark Valley in Montana,5/20/2024,,
Open,5/20/2024 9:50,Glendale,AZ,USA,Triangle,3 glowing orbs seemingly connected in triangle moving VERY fast,5/21/2024,,
Open,5/19/2024 12:00,Los Angeles,CA,USA,Oval,Round Meallic object in sky,5/19/2024,,Balloon?
Open,5/19/2024 0:04,Springfield,MO,USA,Star,Erratically moving star-like light in the sky zig-zagging from one side of the sky to another.,5/20/2024,,
Open,5/18/2024 21:40,Schaumburg,IL,USA,Flash,A solid white meteor like object with long solid white tail,5/20/2024,,Meteor?
Open,5/18/2024 20:41,Hurricane,WV,USA,Chevron,Saw strange V shaped object that appeared to be coming down,5/18/2024,Y,Contrail
Open,5/18/2024 19:19,El Paso,TX,USA,Orb,"I was outside talking with neighbors, happened to look up and noticed objects dancing around before instantly disappearing",5/18/2024,Y,
Open,5/18/2024 17:00,Tucson,AZ,USA,Sphere,"Large silver sphere flying slowly at 5pm in east Tucson, May 18, 2024",5/18/2024,,
Open,5/18/2024 0:30,Glen Rose,TX,USA,Light,Bright white let then white with red lights.,5/18/2024,,
Open,5/17/2024 20:30,Lake Placid,FL,USA,Fireball,"Orange contrail, disappeared; reappeared white; huge translucent teardrop, then 2-3 small lights detached, traveling within the firebal",5/17/2024,Y,Rocket
Open,5/17/2024 18:12,Denver,CO,USA,Changing,Metallic sparkling shape shifting object spotted overhead moving at speed of jet from west to east a straight line viewed with binocs,5/17/2024,,Balloon?
Open,5/17/2024 16:30,Chicago,IL,USA,Circle,"Object embedded in cloud, 2nd from bottom",5/31/2024,Y,Reflection?
Open,5/17/2024 13:02,Hugo,CO,USA,Oval,Reached for phone after viewing object for over a minute,5/18/2024,Y,
Open,5/16/2024 22:09,Gerlach,NV,USA,Triangle,Large triangular object with series of three bright lights and two dimmer lights appearing underneath the two bright lights at the rear,5/17/2024,Y,
Open,5/16/2024 20:24,Atlanta,GA,USA,Cylinder,"I was taking pictures of the sunset from the wing of the plane and saw two objects, one pear or egg-shaped and one cylindrical",6/4/2024,Y,
