Occurred,City,State,Country
"04/11/2024 21:30","Palm Springs","CA","USA"
"04/11/2024 21:01","Petaluma","CA","USA"
"04/11/2024 18:00","Toledo","OH","USA"
"04/11/2024 16:42","Des Peres","MO","USA"
"04/10/2024 23:46","Dos Palos","CA","USA"
"04/10/2024 22:30","Atlanta","GA","USA"
"04/10/2024 21:15","White Sands","NM","USA"
"04/10/2024 19:45","Winder","GA","USA"
"04/10/2024 19:26","Duson","LA","USA"
"04/10/2024 14:58","","NY","USA"
"04/10/2024 11:59","Mammoth Lakes","CA","USA"
"04/09/2024 21:00","Santa Rosa","CA","USA"
"04/09/2024 20:00","Lakeport","MI","USA"
"04/09/2024 19:54","Bulverde","TX","USA"
"04/09/2024 13:38","Danvers","MA","USA"
"04/08/2024 19:45","Seagoville","TX","USA"
"04/08/2024 15:25","New Castle","DE","USA"
"04/08/2024 15:10","New Carlisle","OH","USA"
"04/08/2024 14:45","Freeport","IL","USA"
"04/08/2024 14:40","Lakeview","OH","USA"
"04/08/2024 13:53","Alabaster","AL","USA"
"04/08/2024 13:45","Pembroke Pines","FL","USA"
"04/08/2024 13:00","Ellensburg","WA","USA"
"04/08/2024 12:36","Garland","TX","USA"
"04/08/2024 10:45","Baltimore","MD","USA"
"04/08/2024 05:15","Fort Worth","TX","USA"
"04/08/2024 01:23","Charter Township of Berlin","MI","USA"
"04/07/2024 22:15","Stowe","VT","USA"
"04/07/2024 21:58","Bowling Green","KY","USA"
"04/07/2024 21:03","Coudersport","PA","USA"
"04/07/2024 20:17","Cape Coral","FL","USA"
"04/07/2024 20:09","Spring Hill","FL","USA"
"04/07/2024 15:00","Boulder City","NV","USA"
"04/07/2024 10:24","Grand Canyon Village","AZ","USA"
"04/07/2024 02:00","Rodanthe","NC","USA"
"04/06/2024 23:45","Corte Madera","CA","USA"
"04/06/2024 22:10","Clarendon","TX","USA"
"04/06/2024 12:30","Arthur","IL","USA"
"04/06/2024 12:05","Muncie","IN","USA"
"04/06/2024 00:18","Keokuk","IA","USA"
"04/05/2024 21:15","Fayetteville","AR","USA"
"04/05/2024 05:25","Cocoa Beach","FL","USA"
"04/05/2024 03:50","Rock Island","IL","USA"
"04/04/2024 23:58","Benbrook","TX","USA"
"04/04/2024 07:10","McCalla","AL","USA"
"04/04/2024 02:00","Nowata","OK","USA"
"04/04/2024 01:00","Punta Gorda","FL","USA"
"04/03/2024 22:28","Dallas","TX","USA"
"04/03/2024 21:00","Bluffton","SC","USA"
"04/03/2024 09:30","Geneva","IN","USA"
"04/03/2024 08:45","Lancaster","PA","USA"
"04/02/2024 20:35","Muscle Shoals","AL","USA"
"04/02/2024 19:29","Gravelles","WA","USA"
"04/02/2024 19:17","Portland","OR","USA"
"04/02/2024 12:30","Goodyear","AZ","USA"
"04/02/2024 01:43","Los Angeles","CA","USA"
